EVALUATION RESULTS
==================================================
Average Reconstruction Loss: 750.3608
Average VAE Loss: 55.6031
Average Total Loss: 805.9639
Average RMSD: 21.91 Å
Total Proteins Evaluated: 4679
==================================================

DETAILED RESULTS BY BATCH:
Batch 0: Loss=558.7004, RMSD=19.76Å, Proteins=4
Batch 413: Loss=581.7431, RMSD=17.54Å, Proteins=4
Batch 414: Loss=610.6779, RMSD=19.33Å, Proteins=4
Batch 415: Loss=1278.3401, RMSD=27.43Å, Proteins=4
Batch 416: Loss=799.4890, RMSD=20.41Å, Proteins=4
Batch 417: Loss=497.8138, RMSD=18.26Å, Proteins=4
Batch 418: Loss=768.9722, RMSD=18.97Å, Proteins=4
Batch 419: Loss=802.9941, RMSD=19.96Å, Proteins=4
Batch 420: Loss=346.4163, RMSD=15.24Å, Proteins=4
Batch 421: Loss=536.8660, RMSD=19.85Å, Proteins=4
Batch 422: Loss=525.3124, RMSD=20.88Å, Proteins=4
Batch 423: Loss=867.2683, RMSD=23.72Å, Proteins=4
Batch 424: Loss=753.1682, RMSD=22.41Å, Proteins=4
Batch 425: Loss=760.6938, RMSD=23.01Å, Proteins=4
Batch 426: Loss=1905.2261, RMSD=28.53Å, Proteins=4
Batch 427: Loss=753.4086, RMSD=23.09Å, Proteins=4
Batch 428: Loss=924.2382, RMSD=22.29Å, Proteins=4
Batch 429: Loss=798.4145, RMSD=24.39Å, Proteins=4
Batch 430: Loss=988.5707, RMSD=23.60Å, Proteins=4
Batch 431: Loss=1067.5912, RMSD=24.00Å, Proteins=4
Batch 432: Loss=1126.5138, RMSD=22.77Å, Proteins=4
Batch 433: Loss=1380.8429, RMSD=35.22Å, Proteins=4
Batch 434: Loss=506.9805, RMSD=17.15Å, Proteins=4
Batch 435: Loss=1737.9387, RMSD=22.90Å, Proteins=4
Batch 436: Loss=934.4689, RMSD=24.13Å, Proteins=4
Batch 437: Loss=1193.0811, RMSD=25.13Å, Proteins=4
Batch 438: Loss=929.5484, RMSD=26.48Å, Proteins=4
Batch 439: Loss=1026.3779, RMSD=28.82Å, Proteins=4
Batch 440: Loss=613.2875, RMSD=18.65Å, Proteins=4
Batch 441: Loss=881.4059, RMSD=26.19Å, Proteins=4
Batch 442: Loss=910.4220, RMSD=23.58Å, Proteins=4
Batch 443: Loss=738.0750, RMSD=23.62Å, Proteins=4
Batch 444: Loss=721.9857, RMSD=20.63Å, Proteins=4
Batch 445: Loss=863.5400, RMSD=26.24Å, Proteins=4
Batch 446: Loss=801.5601, RMSD=23.13Å, Proteins=4
Batch 447: Loss=599.2075, RMSD=21.76Å, Proteins=4
Batch 448: Loss=645.5337, RMSD=20.52Å, Proteins=4
Batch 449: Loss=993.5527, RMSD=25.98Å, Proteins=4
Batch 450: Loss=792.3630, RMSD=24.15Å, Proteins=4
Batch 451: Loss=595.5678, RMSD=21.95Å, Proteins=4
Batch 452: Loss=498.7101, RMSD=15.66Å, Proteins=4
Batch 453: Loss=584.2883, RMSD=20.70Å, Proteins=4
Batch 454: Loss=611.6755, RMSD=21.56Å, Proteins=4
Batch 455: Loss=995.5138, RMSD=28.80Å, Proteins=4
Batch 456: Loss=686.6142, RMSD=22.93Å, Proteins=4
Batch 457: Loss=768.0483, RMSD=20.55Å, Proteins=4
Batch 458: Loss=1013.8167, RMSD=24.90Å, Proteins=4
Batch 459: Loss=589.4324, RMSD=18.87Å, Proteins=4
Batch 460: Loss=817.9188, RMSD=25.48Å, Proteins=4
Batch 461: Loss=1287.9781, RMSD=26.18Å, Proteins=4
Batch 462: Loss=1031.9801, RMSD=23.43Å, Proteins=4
Batch 463: Loss=560.9811, RMSD=18.83Å, Proteins=4
Batch 464: Loss=780.1793, RMSD=25.09Å, Proteins=4
Batch 465: Loss=948.2169, RMSD=20.54Å, Proteins=4
Batch 466: Loss=942.8052, RMSD=20.28Å, Proteins=4
Batch 467: Loss=536.6446, RMSD=17.74Å, Proteins=4
Batch 468: Loss=894.6776, RMSD=22.91Å, Proteins=4
Batch 469: Loss=1027.9908, RMSD=24.93Å, Proteins=4
Batch 470: Loss=814.9150, RMSD=21.98Å, Proteins=4
Batch 471: Loss=608.6511, RMSD=21.97Å, Proteins=4
Batch 472: Loss=968.6746, RMSD=23.58Å, Proteins=4
Batch 473: Loss=1161.8383, RMSD=28.08Å, Proteins=4
Batch 474: Loss=863.1816, RMSD=18.40Å, Proteins=4
Batch 475: Loss=357.3918, RMSD=17.01Å, Proteins=4
Batch 476: Loss=541.8691, RMSD=21.75Å, Proteins=4
Batch 477: Loss=839.8973, RMSD=19.45Å, Proteins=4
Batch 478: Loss=693.9174, RMSD=21.10Å, Proteins=4
Batch 479: Loss=362.8828, RMSD=16.61Å, Proteins=4
Batch 480: Loss=713.3336, RMSD=20.69Å, Proteins=4
Batch 481: Loss=1077.0079, RMSD=27.30Å, Proteins=4
Batch 482: Loss=916.5319, RMSD=21.50Å, Proteins=4
Batch 483: Loss=1078.6992, RMSD=29.22Å, Proteins=4
Batch 484: Loss=545.9965, RMSD=19.92Å, Proteins=4
Batch 485: Loss=933.8184, RMSD=28.07Å, Proteins=4
Batch 486: Loss=809.7866, RMSD=22.15Å, Proteins=4
Batch 487: Loss=749.9932, RMSD=22.04Å, Proteins=4
Batch 488: Loss=495.2068, RMSD=17.84Å, Proteins=4
Batch 489: Loss=759.7042, RMSD=21.26Å, Proteins=4
Batch 490: Loss=476.4371, RMSD=19.54Å, Proteins=4
Batch 491: Loss=1200.6752, RMSD=30.74Å, Proteins=4
Batch 492: Loss=1089.9434, RMSD=23.07Å, Proteins=4
Batch 493: Loss=580.9255, RMSD=18.53Å, Proteins=4
Batch 494: Loss=455.7766, RMSD=16.40Å, Proteins=4
Batch 495: Loss=706.2037, RMSD=24.50Å, Proteins=4
Batch 496: Loss=574.7909, RMSD=18.69Å, Proteins=4
Batch 497: Loss=299.4665, RMSD=13.29Å, Proteins=4
Batch 498: Loss=483.9664, RMSD=17.51Å, Proteins=4
Batch 499: Loss=747.3976, RMSD=16.45Å, Proteins=4
Batch 500: Loss=491.1483, RMSD=17.82Å, Proteins=4
Batch 501: Loss=989.6313, RMSD=22.69Å, Proteins=4
Batch 502: Loss=1082.9565, RMSD=25.91Å, Proteins=4
Batch 503: Loss=514.4177, RMSD=19.80Å, Proteins=4
Batch 504: Loss=976.1193, RMSD=19.17Å, Proteins=4
Batch 505: Loss=615.7227, RMSD=21.81Å, Proteins=4
Batch 506: Loss=685.7805, RMSD=21.84Å, Proteins=4
Batch 507: Loss=639.7668, RMSD=17.72Å, Proteins=4
Batch 508: Loss=536.3371, RMSD=18.98Å, Proteins=4
Batch 509: Loss=295.7337, RMSD=13.73Å, Proteins=4
Batch 510: Loss=646.0970, RMSD=21.27Å, Proteins=4
Batch 511: Loss=440.7053, RMSD=17.72Å, Proteins=4
Batch 512: Loss=679.2382, RMSD=22.91Å, Proteins=4
Batch 513: Loss=832.6063, RMSD=27.65Å, Proteins=4
Batch 514: Loss=681.2955, RMSD=20.29Å, Proteins=4
Batch 515: Loss=1173.1206, RMSD=29.76Å, Proteins=4
Batch 516: Loss=710.1757, RMSD=21.16Å, Proteins=4
Batch 517: Loss=563.3314, RMSD=18.61Å, Proteins=4
Batch 518: Loss=379.2053, RMSD=15.17Å, Proteins=4
Batch 519: Loss=856.7117, RMSD=21.03Å, Proteins=4
Batch 520: Loss=609.8986, RMSD=19.73Å, Proteins=4
Batch 521: Loss=671.1151, RMSD=19.89Å, Proteins=4
Batch 522: Loss=493.3595, RMSD=21.58Å, Proteins=4
Batch 523: Loss=589.6928, RMSD=19.48Å, Proteins=4
Batch 524: Loss=891.0866, RMSD=25.54Å, Proteins=4
Batch 525: Loss=1043.3696, RMSD=21.43Å, Proteins=4
Batch 526: Loss=592.0423, RMSD=21.33Å, Proteins=4
Batch 527: Loss=937.2104, RMSD=25.95Å, Proteins=4
Batch 528: Loss=1106.4338, RMSD=25.83Å, Proteins=4
Batch 529: Loss=545.0292, RMSD=20.27Å, Proteins=4
Batch 530: Loss=728.9860, RMSD=19.83Å, Proteins=4
Batch 531: Loss=805.0795, RMSD=23.09Å, Proteins=4
Batch 532: Loss=853.8026, RMSD=23.80Å, Proteins=4
Batch 533: Loss=677.2715, RMSD=22.22Å, Proteins=4
Batch 534: Loss=858.9449, RMSD=25.54Å, Proteins=4
Batch 535: Loss=627.6560, RMSD=18.45Å, Proteins=4
Batch 536: Loss=914.7230, RMSD=23.19Å, Proteins=4
Batch 537: Loss=592.7246, RMSD=19.15Å, Proteins=4
Batch 538: Loss=605.6342, RMSD=19.89Å, Proteins=4
Batch 539: Loss=1048.4261, RMSD=22.24Å, Proteins=4
Batch 540: Loss=734.1573, RMSD=21.05Å, Proteins=4
Batch 541: Loss=476.0840, RMSD=17.03Å, Proteins=4
Batch 542: Loss=525.7392, RMSD=19.26Å, Proteins=4
Batch 543: Loss=656.8107, RMSD=23.86Å, Proteins=4
Batch 544: Loss=1245.7771, RMSD=30.24Å, Proteins=4
Batch 545: Loss=759.1078, RMSD=19.37Å, Proteins=4
Batch 546: Loss=1074.2552, RMSD=29.14Å, Proteins=4
Batch 547: Loss=901.9873, RMSD=23.74Å, Proteins=4
Batch 548: Loss=552.0096, RMSD=18.85Å, Proteins=4
Batch 549: Loss=1129.1904, RMSD=22.94Å, Proteins=4
Batch 550: Loss=701.2322, RMSD=22.42Å, Proteins=4
Batch 551: Loss=807.7615, RMSD=23.08Å, Proteins=4
Batch 552: Loss=865.4104, RMSD=20.62Å, Proteins=4
Batch 553: Loss=948.4884, RMSD=23.23Å, Proteins=4
Batch 554: Loss=963.7206, RMSD=28.61Å, Proteins=4
Batch 555: Loss=787.9174, RMSD=23.59Å, Proteins=4
Batch 556: Loss=997.3882, RMSD=26.24Å, Proteins=4
Batch 557: Loss=699.6726, RMSD=20.73Å, Proteins=4
Batch 558: Loss=797.2596, RMSD=20.07Å, Proteins=4
Batch 559: Loss=593.6230, RMSD=21.64Å, Proteins=4
Batch 560: Loss=480.0358, RMSD=17.99Å, Proteins=4
Batch 561: Loss=672.6472, RMSD=21.28Å, Proteins=4
Batch 562: Loss=546.9996, RMSD=19.22Å, Proteins=4
Batch 563: Loss=746.8832, RMSD=22.83Å, Proteins=4
Batch 564: Loss=812.5515, RMSD=18.31Å, Proteins=4
Batch 565: Loss=605.6304, RMSD=19.49Å, Proteins=4
Batch 566: Loss=744.7800, RMSD=22.15Å, Proteins=4
Batch 567: Loss=735.4261, RMSD=23.81Å, Proteins=4
Batch 568: Loss=622.4302, RMSD=22.10Å, Proteins=4
Batch 569: Loss=684.8703, RMSD=21.67Å, Proteins=4
Batch 570: Loss=562.0126, RMSD=17.20Å, Proteins=4
Batch 571: Loss=539.8982, RMSD=19.43Å, Proteins=4
Batch 572: Loss=868.5495, RMSD=19.84Å, Proteins=4
Batch 573: Loss=626.6727, RMSD=20.98Å, Proteins=4
Batch 574: Loss=721.5310, RMSD=23.11Å, Proteins=4
Batch 575: Loss=420.6894, RMSD=16.60Å, Proteins=4
Batch 576: Loss=815.3255, RMSD=23.78Å, Proteins=4
Batch 577: Loss=1509.8025, RMSD=32.22Å, Proteins=4
Batch 578: Loss=566.0104, RMSD=18.97Å, Proteins=4
Batch 579: Loss=819.0779, RMSD=23.66Å, Proteins=4
Batch 580: Loss=748.7014, RMSD=21.58Å, Proteins=4
Batch 581: Loss=732.4072, RMSD=21.38Å, Proteins=4
Batch 582: Loss=631.9444, RMSD=22.12Å, Proteins=4
Batch 583: Loss=755.5499, RMSD=17.71Å, Proteins=4
Batch 584: Loss=1190.0016, RMSD=29.83Å, Proteins=4
Batch 585: Loss=695.7753, RMSD=19.67Å, Proteins=4
Batch 586: Loss=612.9998, RMSD=19.86Å, Proteins=4
Batch 587: Loss=451.8188, RMSD=15.48Å, Proteins=4
Batch 588: Loss=992.9560, RMSD=21.16Å, Proteins=4
Batch 589: Loss=507.4259, RMSD=17.40Å, Proteins=4
Batch 590: Loss=935.1747, RMSD=20.01Å, Proteins=4
Batch 591: Loss=484.2224, RMSD=17.91Å, Proteins=4
Batch 592: Loss=425.2939, RMSD=16.37Å, Proteins=4
Batch 593: Loss=1288.9164, RMSD=25.22Å, Proteins=4
Batch 594: Loss=640.6401, RMSD=21.20Å, Proteins=4
Batch 595: Loss=864.9056, RMSD=23.13Å, Proteins=4
Batch 596: Loss=833.7197, RMSD=22.36Å, Proteins=4
Batch 597: Loss=765.2025, RMSD=21.00Å, Proteins=4
Batch 598: Loss=384.0369, RMSD=17.42Å, Proteins=4
Batch 599: Loss=614.1959, RMSD=21.11Å, Proteins=4
Batch 600: Loss=424.1739, RMSD=17.82Å, Proteins=4
Batch 601: Loss=770.2075, RMSD=18.72Å, Proteins=4
Batch 602: Loss=515.5806, RMSD=19.20Å, Proteins=4
Batch 603: Loss=813.2164, RMSD=17.71Å, Proteins=4
Batch 604: Loss=841.8419, RMSD=25.16Å, Proteins=4
Batch 605: Loss=466.1485, RMSD=15.56Å, Proteins=4
Batch 606: Loss=432.2669, RMSD=18.57Å, Proteins=4
Batch 607: Loss=769.3935, RMSD=26.14Å, Proteins=4
Batch 608: Loss=726.2894, RMSD=20.96Å, Proteins=4
Batch 609: Loss=761.3966, RMSD=19.53Å, Proteins=4
Batch 610: Loss=410.5925, RMSD=14.85Å, Proteins=4
Batch 611: Loss=1985.1962, RMSD=26.57Å, Proteins=4
Batch 612: Loss=1568.6656, RMSD=27.74Å, Proteins=4
Batch 613: Loss=1592.3488, RMSD=27.30Å, Proteins=4
Batch 614: Loss=605.5126, RMSD=20.76Å, Proteins=4
Batch 615: Loss=998.3110, RMSD=21.74Å, Proteins=4
Batch 616: Loss=1155.0084, RMSD=22.80Å, Proteins=4
Batch 617: Loss=854.8594, RMSD=22.69Å, Proteins=4
Batch 618: Loss=602.3571, RMSD=21.75Å, Proteins=4
Batch 619: Loss=1137.1431, RMSD=24.89Å, Proteins=4
Batch 620: Loss=758.4790, RMSD=20.25Å, Proteins=4
Batch 621: Loss=436.8707, RMSD=17.45Å, Proteins=4
Batch 622: Loss=740.6515, RMSD=23.56Å, Proteins=4
Batch 623: Loss=1051.4655, RMSD=23.08Å, Proteins=4
Batch 624: Loss=824.9283, RMSD=21.91Å, Proteins=4
Batch 625: Loss=506.1643, RMSD=19.80Å, Proteins=4
Batch 626: Loss=675.0541, RMSD=20.41Å, Proteins=4
Batch 627: Loss=887.5217, RMSD=21.88Å, Proteins=4
Batch 628: Loss=669.2645, RMSD=22.86Å, Proteins=4
Batch 629: Loss=1075.5946, RMSD=30.01Å, Proteins=4
Batch 630: Loss=807.8633, RMSD=21.18Å, Proteins=4
Batch 631: Loss=657.9830, RMSD=20.43Å, Proteins=4
Batch 632: Loss=590.8741, RMSD=19.29Å, Proteins=4
Batch 633: Loss=817.9114, RMSD=25.25Å, Proteins=4
Batch 634: Loss=846.6306, RMSD=20.92Å, Proteins=4
Batch 635: Loss=753.3069, RMSD=22.88Å, Proteins=4
Batch 636: Loss=1022.4106, RMSD=27.07Å, Proteins=4
Batch 637: Loss=674.0358, RMSD=22.94Å, Proteins=4
Batch 638: Loss=687.7285, RMSD=22.66Å, Proteins=4
Batch 639: Loss=471.0317, RMSD=17.99Å, Proteins=4
Batch 640: Loss=966.0350, RMSD=25.75Å, Proteins=4
Batch 641: Loss=919.6522, RMSD=26.37Å, Proteins=4
Batch 642: Loss=1257.4467, RMSD=32.98Å, Proteins=4
Batch 643: Loss=1147.2426, RMSD=20.94Å, Proteins=4
Batch 644: Loss=864.2012, RMSD=22.41Å, Proteins=4
Batch 645: Loss=1226.1715, RMSD=30.44Å, Proteins=4
Batch 646: Loss=508.9550, RMSD=16.34Å, Proteins=4
Batch 647: Loss=860.1748, RMSD=22.64Å, Proteins=4
Batch 648: Loss=874.5829, RMSD=26.30Å, Proteins=4
Batch 649: Loss=709.8975, RMSD=15.75Å, Proteins=4
Batch 650: Loss=654.8666, RMSD=16.87Å, Proteins=4
Batch 651: Loss=707.8416, RMSD=22.32Å, Proteins=4
Batch 652: Loss=571.7107, RMSD=20.62Å, Proteins=4
Batch 653: Loss=789.0355, RMSD=21.72Å, Proteins=4
Batch 654: Loss=758.3091, RMSD=25.01Å, Proteins=4
Batch 655: Loss=854.0285, RMSD=23.05Å, Proteins=4
Batch 656: Loss=614.0757, RMSD=20.57Å, Proteins=4
Batch 657: Loss=703.9808, RMSD=20.92Å, Proteins=4
Batch 658: Loss=1111.6838, RMSD=23.97Å, Proteins=4
Batch 659: Loss=828.5628, RMSD=21.85Å, Proteins=4
Batch 660: Loss=1133.7600, RMSD=29.27Å, Proteins=4
Batch 661: Loss=524.6113, RMSD=16.82Å, Proteins=4
Batch 662: Loss=699.9819, RMSD=20.89Å, Proteins=4
Batch 663: Loss=1788.7562, RMSD=29.01Å, Proteins=4
Batch 664: Loss=375.5748, RMSD=14.83Å, Proteins=4
Batch 665: Loss=855.2584, RMSD=21.71Å, Proteins=4
Batch 666: Loss=512.5772, RMSD=16.05Å, Proteins=4
Batch 667: Loss=608.9149, RMSD=20.91Å, Proteins=4
Batch 668: Loss=963.9890, RMSD=26.94Å, Proteins=4
Batch 669: Loss=706.7104, RMSD=23.78Å, Proteins=4
Batch 670: Loss=667.8346, RMSD=19.67Å, Proteins=4
Batch 671: Loss=906.1558, RMSD=24.10Å, Proteins=4
Batch 672: Loss=904.7148, RMSD=22.57Å, Proteins=4
Batch 673: Loss=624.3871, RMSD=20.24Å, Proteins=4
Batch 674: Loss=607.1412, RMSD=20.35Å, Proteins=4
Batch 675: Loss=722.8239, RMSD=20.79Å, Proteins=4
Batch 676: Loss=426.5677, RMSD=16.69Å, Proteins=4
Batch 677: Loss=939.6152, RMSD=24.24Å, Proteins=4
Batch 678: Loss=501.7716, RMSD=18.81Å, Proteins=4
Batch 679: Loss=956.8917, RMSD=22.05Å, Proteins=4
Batch 680: Loss=583.6347, RMSD=19.93Å, Proteins=4
Batch 681: Loss=1440.3440, RMSD=21.91Å, Proteins=4
Batch 682: Loss=741.4995, RMSD=21.11Å, Proteins=4
Batch 683: Loss=1520.4897, RMSD=26.16Å, Proteins=4
Batch 684: Loss=821.9256, RMSD=23.99Å, Proteins=4
Batch 685: Loss=620.8229, RMSD=22.33Å, Proteins=4
Batch 686: Loss=513.0087, RMSD=18.57Å, Proteins=4
Batch 687: Loss=401.8538, RMSD=14.70Å, Proteins=4
Batch 688: Loss=1024.0109, RMSD=29.11Å, Proteins=4
Batch 689: Loss=700.2908, RMSD=23.47Å, Proteins=4
Batch 690: Loss=852.1026, RMSD=24.89Å, Proteins=4
Batch 691: Loss=289.6065, RMSD=13.74Å, Proteins=4
Batch 692: Loss=599.5539, RMSD=20.14Å, Proteins=4
Batch 693: Loss=977.3676, RMSD=25.13Å, Proteins=4
Batch 694: Loss=643.7349, RMSD=18.52Å, Proteins=4
Batch 695: Loss=896.5392, RMSD=25.67Å, Proteins=4
Batch 696: Loss=818.9996, RMSD=23.81Å, Proteins=4
Batch 697: Loss=766.5630, RMSD=25.18Å, Proteins=4
Batch 698: Loss=353.8413, RMSD=15.31Å, Proteins=4
Batch 699: Loss=680.2376, RMSD=20.74Å, Proteins=4
Batch 700: Loss=967.7103, RMSD=23.51Å, Proteins=4
Batch 701: Loss=805.6176, RMSD=21.00Å, Proteins=4
Batch 702: Loss=479.9966, RMSD=17.56Å, Proteins=4
Batch 703: Loss=714.9197, RMSD=20.77Å, Proteins=4
Batch 704: Loss=1452.4344, RMSD=31.73Å, Proteins=4
Batch 705: Loss=958.9066, RMSD=21.84Å, Proteins=4
Batch 706: Loss=670.0396, RMSD=22.99Å, Proteins=4
Batch 707: Loss=502.2125, RMSD=20.92Å, Proteins=4
Batch 708: Loss=645.9009, RMSD=16.97Å, Proteins=4
Batch 709: Loss=513.1098, RMSD=18.28Å, Proteins=4
Batch 710: Loss=684.4595, RMSD=21.92Å, Proteins=4
Batch 711: Loss=1558.6704, RMSD=34.57Å, Proteins=4
Batch 712: Loss=730.4595, RMSD=24.92Å, Proteins=4
Batch 713: Loss=862.6785, RMSD=21.58Å, Proteins=4
Batch 714: Loss=637.1550, RMSD=19.13Å, Proteins=4
Batch 715: Loss=1242.8824, RMSD=25.75Å, Proteins=4
Batch 716: Loss=903.1799, RMSD=25.74Å, Proteins=4
Batch 717: Loss=910.2532, RMSD=23.04Å, Proteins=4
Batch 718: Loss=376.8125, RMSD=16.77Å, Proteins=4
Batch 719: Loss=942.7120, RMSD=25.06Å, Proteins=4
Batch 720: Loss=642.6775, RMSD=18.15Å, Proteins=4
Batch 721: Loss=937.5201, RMSD=24.36Å, Proteins=4
Batch 722: Loss=822.5511, RMSD=21.28Å, Proteins=4
Batch 723: Loss=852.4276, RMSD=26.19Å, Proteins=4
Batch 724: Loss=641.1458, RMSD=19.17Å, Proteins=4
Batch 725: Loss=420.5735, RMSD=16.51Å, Proteins=4
Batch 726: Loss=1102.8848, RMSD=21.53Å, Proteins=4
Batch 727: Loss=470.9268, RMSD=17.34Å, Proteins=4
Batch 728: Loss=782.1556, RMSD=21.16Å, Proteins=4
Batch 729: Loss=792.4726, RMSD=19.12Å, Proteins=4
Batch 730: Loss=896.4329, RMSD=23.25Å, Proteins=4
Batch 731: Loss=741.5565, RMSD=25.03Å, Proteins=4
Batch 732: Loss=1035.1992, RMSD=24.55Å, Proteins=4
Batch 733: Loss=1724.8331, RMSD=37.79Å, Proteins=4
Batch 734: Loss=459.8557, RMSD=15.85Å, Proteins=4
Batch 735: Loss=616.7833, RMSD=21.60Å, Proteins=4
Batch 736: Loss=727.4169, RMSD=22.07Å, Proteins=4
Batch 737: Loss=595.5774, RMSD=20.50Å, Proteins=4
Batch 738: Loss=1119.0022, RMSD=20.66Å, Proteins=4
Batch 739: Loss=900.6527, RMSD=27.14Å, Proteins=4
Batch 740: Loss=309.9204, RMSD=14.58Å, Proteins=4
Batch 741: Loss=814.1257, RMSD=19.61Å, Proteins=4
Batch 742: Loss=891.1121, RMSD=22.04Å, Proteins=4
Batch 743: Loss=693.8660, RMSD=21.59Å, Proteins=4
Batch 744: Loss=549.0358, RMSD=18.65Å, Proteins=4
Batch 745: Loss=819.8513, RMSD=22.66Å, Proteins=4
Batch 746: Loss=393.0159, RMSD=14.93Å, Proteins=4
Batch 747: Loss=902.2168, RMSD=22.60Å, Proteins=4
Batch 748: Loss=616.9040, RMSD=19.99Å, Proteins=4
Batch 749: Loss=839.1793, RMSD=22.50Å, Proteins=4
Batch 750: Loss=1089.1095, RMSD=27.58Å, Proteins=4
Batch 751: Loss=802.0637, RMSD=24.10Å, Proteins=4
Batch 752: Loss=621.4514, RMSD=18.96Å, Proteins=4
Batch 753: Loss=888.3663, RMSD=22.08Å, Proteins=4
Batch 754: Loss=842.8903, RMSD=24.24Å, Proteins=4
Batch 755: Loss=762.7372, RMSD=23.25Å, Proteins=4
Batch 756: Loss=1147.6359, RMSD=25.00Å, Proteins=4
Batch 757: Loss=544.5140, RMSD=17.74Å, Proteins=4
Batch 758: Loss=1100.4952, RMSD=28.44Å, Proteins=4
Batch 759: Loss=1645.4548, RMSD=28.24Å, Proteins=4
Batch 760: Loss=588.4473, RMSD=19.35Å, Proteins=4
Batch 761: Loss=1096.0349, RMSD=28.87Å, Proteins=4
Batch 762: Loss=830.8743, RMSD=22.31Å, Proteins=4
Batch 763: Loss=1105.3558, RMSD=21.76Å, Proteins=4
Batch 764: Loss=590.4722, RMSD=19.25Å, Proteins=4
Batch 765: Loss=425.6232, RMSD=16.60Å, Proteins=4
Batch 766: Loss=737.4331, RMSD=22.28Å, Proteins=4
Batch 767: Loss=1247.4348, RMSD=24.49Å, Proteins=4
Batch 768: Loss=1010.0671, RMSD=25.16Å, Proteins=4
Batch 769: Loss=1424.0760, RMSD=26.58Å, Proteins=4
Batch 770: Loss=1137.4833, RMSD=22.82Å, Proteins=4
Batch 771: Loss=1355.6144, RMSD=25.76Å, Proteins=4
Batch 772: Loss=865.1176, RMSD=26.74Å, Proteins=4
Batch 773: Loss=409.2686, RMSD=16.07Å, Proteins=4
Batch 774: Loss=629.8192, RMSD=20.12Å, Proteins=4
Batch 775: Loss=649.7098, RMSD=18.85Å, Proteins=4
Batch 776: Loss=1152.7079, RMSD=22.42Å, Proteins=4
Batch 777: Loss=823.6832, RMSD=21.72Å, Proteins=4
Batch 778: Loss=385.5374, RMSD=16.38Å, Proteins=4
Batch 779: Loss=834.3789, RMSD=23.92Å, Proteins=4
Batch 780: Loss=955.2885, RMSD=21.50Å, Proteins=4
Batch 781: Loss=753.3229, RMSD=21.92Å, Proteins=4
Batch 782: Loss=579.8491, RMSD=19.91Å, Proteins=4
Batch 783: Loss=1271.1355, RMSD=27.78Å, Proteins=4
Batch 784: Loss=651.8043, RMSD=18.71Å, Proteins=4
Batch 785: Loss=1030.7155, RMSD=25.39Å, Proteins=4
Batch 786: Loss=318.2753, RMSD=14.42Å, Proteins=4
Batch 787: Loss=1278.4884, RMSD=30.44Å, Proteins=4
Batch 788: Loss=1689.4053, RMSD=30.90Å, Proteins=4
Batch 789: Loss=1126.9343, RMSD=23.52Å, Proteins=4
Batch 790: Loss=508.1467, RMSD=17.97Å, Proteins=4
Batch 791: Loss=1097.3937, RMSD=26.11Å, Proteins=4
Batch 792: Loss=1343.9546, RMSD=20.45Å, Proteins=4
Batch 793: Loss=286.8377, RMSD=14.00Å, Proteins=4
Batch 794: Loss=904.5602, RMSD=22.00Å, Proteins=4
Batch 795: Loss=384.4214, RMSD=17.79Å, Proteins=4
Batch 796: Loss=1051.8090, RMSD=21.12Å, Proteins=4
Batch 797: Loss=599.2745, RMSD=17.70Å, Proteins=4
Batch 798: Loss=577.3858, RMSD=18.93Å, Proteins=4
Batch 799: Loss=1193.2517, RMSD=21.47Å, Proteins=4
Batch 800: Loss=648.5583, RMSD=21.76Å, Proteins=4
Batch 801: Loss=969.4684, RMSD=23.84Å, Proteins=4
Batch 802: Loss=747.8401, RMSD=22.81Å, Proteins=4
Batch 803: Loss=922.2476, RMSD=23.19Å, Proteins=4
Batch 804: Loss=554.3931, RMSD=19.91Å, Proteins=4
Batch 805: Loss=849.1492, RMSD=23.95Å, Proteins=4
Batch 806: Loss=927.6542, RMSD=21.56Å, Proteins=4
Batch 807: Loss=814.9835, RMSD=22.05Å, Proteins=4
Batch 808: Loss=460.5134, RMSD=16.35Å, Proteins=4
Batch 809: Loss=646.1530, RMSD=20.26Å, Proteins=4
Batch 810: Loss=763.6709, RMSD=19.90Å, Proteins=4
Batch 811: Loss=528.9685, RMSD=18.94Å, Proteins=4
Batch 812: Loss=1818.9568, RMSD=34.34Å, Proteins=4
Batch 813: Loss=571.0557, RMSD=20.36Å, Proteins=4
Batch 814: Loss=871.1221, RMSD=23.28Å, Proteins=4
Batch 815: Loss=938.4481, RMSD=19.83Å, Proteins=4
Batch 816: Loss=795.8057, RMSD=22.75Å, Proteins=4
Batch 817: Loss=398.5483, RMSD=16.25Å, Proteins=4
Batch 818: Loss=449.6018, RMSD=17.02Å, Proteins=4
Batch 819: Loss=743.0794, RMSD=20.90Å, Proteins=4
Batch 820: Loss=2044.1310, RMSD=30.66Å, Proteins=4
Batch 821: Loss=1988.8812, RMSD=33.19Å, Proteins=4
Batch 822: Loss=711.6807, RMSD=23.01Å, Proteins=4
Batch 823: Loss=385.8318, RMSD=15.37Å, Proteins=4
Batch 824: Loss=905.6707, RMSD=24.68Å, Proteins=4
Batch 825: Loss=1138.5537, RMSD=23.80Å, Proteins=4
Batch 826: Loss=946.3336, RMSD=25.60Å, Proteins=4
Batch 827: Loss=549.9968, RMSD=19.30Å, Proteins=4
Batch 828: Loss=906.2215, RMSD=20.73Å, Proteins=4
Batch 829: Loss=766.4474, RMSD=24.85Å, Proteins=4
